model1,model2,equivalent,not_equivalent,total_valid,equivalent_pct
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-pro_zero_shot,119,41,160,74.38
claude-3.5-sonnet_zero_shot_self_refine,gemini-1.5-pro_zero_shot_self_refine,121,37,158,76.58
claude-3.5-sonnet_zero_shot_self_refine,gemini-2.5-flash_few_shot,133,51,184,72.28
claude-3.5-sonnet_zero_shot_self_refine,gemini-2.5-flash_zero_shot,141,44,185,76.22
claude-3.5-sonnet_zero_shot_self_refine,gemini-2.5-flash_zero_shot_self_refine,144,45,189,76.19
gemini-1.5-flash_few_shot,gemini-1.5-flash_zero_shot,250,29,279,89.61
gemini-1.5-flash_few_shot,gemini-1.5-flash_zero_shot_self_refine,252,23,275,91.64
gemini-1.5-flash_few_shot,gemini-1.5-pro_few_shot,160,82,242,66.12
gemini-1.5-flash_few_shot,gemini-1.5-pro_zero_shot,161,79,240,67.08
gemini-1.5-flash_few_shot,gemini-1.5-pro_zero_shot_self_refine,159,80,239,66.53
gemini-1.5-flash_few_shot,gemini-2.5-flash_few_shot,149,127,276,53.99
gemini-1.5-flash_few_shot,gemini-2.5-flash_zero_shot,155,122,277,55.96
gemini-1.5-flash_few_shot,gemini-2.5-flash_zero_shot_self_refine,158,122,280,56.43
gemini-1.5-flash_zero_shot,gemini-1.5-flash_zero_shot_self_refine,252,23,275,91.64
gemini-1.5-flash_zero_shot,gemini-1.5-pro_few_shot,156,87,243,64.2
gemini-1.5-flash_zero_shot,gemini-1.5-pro_zero_shot,158,84,242,65.29
gemini-1.5-flash_zero_shot,gemini-1.5-pro_zero_shot_self_refine,156,84,240,65.0
gemini-1.5-flash_zero_shot,gemini-2.5-flash_few_shot,146,129,275,53.09
gemini-1.5-flash_zero_shot,gemini-2.5-flash_zero_shot,153,124,277,55.23
gemini-1.5-flash_zero_shot,gemini-2.5-flash_zero_shot_self_refine,155,124,279,55.56
gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_few_shot,159,82,241,65.98
gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_zero_shot,161,79,240,67.08
gemini-1.5-flash_zero_shot_self_refine,gemini-1.5-pro_zero_shot_self_refine,158,82,240,65.83
gemini-1.5-flash_zero_shot_self_refine,gemini-2.5-flash_few_shot,152,119,271,56.09
gemini-1.5-flash_zero_shot_self_refine,gemini-2.5-flash_zero_shot,157,115,272,57.72
gemini-1.5-flash_zero_shot_self_refine,gemini-2.5-flash_zero_shot_self_refine,159,116,275,57.82
gemini-1.5-pro_few_shot,gemini-1.5-pro_zero_shot,241,8,249,96.79
gemini-1.5-pro_few_shot,gemini-1.5-pro_zero_shot_self_refine,244,4,248,98.39
gemini-1.5-pro_few_shot,gemini-2.5-flash_few_shot,172,83,255,67.45
gemini-1.5-pro_few_shot,gemini-2.5-flash_zero_shot,189,66,255,74.12
gemini-1.5-pro_few_shot,gemini-2.5-flash_zero_shot_self_refine,186,70,256,72.66
gemini-1.5-pro_zero_shot,gemini-1.5-pro_zero_shot_self_refine,242,9,251,96.41
gemini-1.5-pro_zero_shot,gemini-2.5-flash_few_shot,174,79,253,68.77
gemini-1.5-pro_zero_shot,gemini-2.5-flash_zero_shot,189,65,254,74.41
gemini-1.5-pro_zero_shot,gemini-2.5-flash_zero_shot_self_refine,189,65,254,74.41
gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_few_shot,175,78,253,69.17
gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_zero_shot,191,62,253,75.49
gemini-1.5-pro_zero_shot_self_refine,gemini-2.5-flash_zero_shot_self_refine,189,66,255,74.12
gemini-2.5-flash_few_shot,gemini-2.5-flash_zero_shot,252,41,293,86.01
gemini-2.5-flash_few_shot,gemini-2.5-flash_zero_shot_self_refine,250,43,293,85.32
gemini-2.5-flash_zero_shot,gemini-2.5-flash_zero_shot_self_refine,255,41,296,86.15
