LTL Formula,Trace,Type,AST
G(x1 -> F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
G(x1 -> X(!x1 U x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))"
G(x1 -> X(!x1 U x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""x2"")))))"
x1 -> G(x2 U !x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"LImplies(AtomicProposition(""x1""),Always(Until(AtomicProposition(""x2""), Not(AtomicProposition(""x3"")))))"
x1 -> G(x2 U !x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Negative,"LImplies(AtomicProposition(""x1""),Always(Until(AtomicProposition(""x2""), Not(AtomicProposition(""x3"")))))"
G(x1 -> (F(x2) | X(!x3))),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),LOr(Eventually(AtomicProposition(""x2"")),Next(Not(AtomicProposition(""x3""))))))"
G(x1 -> (F(x2) | X(!x3))),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = TRUE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),LOr(Eventually(AtomicProposition(""x2"")),Next(Not(AtomicProposition(""x3""))))))"
G((x1 & X(x1)) -> X(X(!x1))),[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
G((x1 & X(x1)) -> X(X(!x1))),[x1 = TRUE];[x1 = TRUE];...,Negative,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))))"
F(x1) & G(x1 -> X(G(!x1))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
F(x1) & G(x1 -> X(G(!x1))),[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Negative,"LAnd(Eventually(AtomicProposition(""x1"")),Always(LImplies(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))))"
G((x1 & !x2) | (!x1 & x2) | (!x1 & !x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Positive,"Always(LOr(LOr(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2"")))))"
G((x1 & !x2) | (!x1 & x2) | (!x1 & !x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(LOr(LOr(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),AtomicProposition(""x2""))),LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x2"")))))"
G (x1-> X(!x1 U X2)),"[X2 = FALSE, x1 = TRUE];[X2 = TRUE, x1 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""X2"")))))"
G (x1-> X(!x1 U X2)),"[X2 = FALSE, x1 = TRUE];[X2 = FALSE, x1 = TRUE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Next(Until(Not(AtomicProposition(""x1"")), AtomicProposition(""X2"")))))"
G(x1 -> F(X(x2))),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Eventually(Next(AtomicProposition(""x2"")))))"
G(x1 -> F(X(x2))),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Eventually(Next(AtomicProposition(""x2"")))))"
G (F(x4 -> (!(F !x1->(x2 & x3))))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive,"Always(Eventually(LImplies(AtomicProposition(""x4""),Not(LImplies(Eventually(Not(AtomicProposition(""x1""))),LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))))"
G (F(x4 -> (!(F !x1->(x2 & x3))))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];...",Negative,"Always(Eventually(LImplies(AtomicProposition(""x4""),Not(LImplies(Eventually(Not(AtomicProposition(""x1""))),LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))))))"
G(!(x1 & x3) & !(x2 & x4) !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = FALSE];...",Positive,ERROR
G(!(x1 & x3) & !(x2 & x4) !(x2 & x3) &!(x1 & x4) & ((x2 | x3)  ->!(x1 | x4))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE, x4 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];[x1 = TRUE, x2 = FALSE, x3 = FALSE, x4 = TRUE];...",Negative,ERROR
G(x1 &  F(!x1)),True,Positive,"Always(LAnd(AtomicProposition(""x1""),Eventually(Not(AtomicProposition(""x1"")))))"
G(x1 &  F(!x1)),[x1 = TRUE];[x1 = TRUE];...,Negative,"Always(LAnd(AtomicProposition(""x1""),Eventually(Not(AtomicProposition(""x1"")))))"
G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LOr(LAnd(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),Next(Next(AtomicProposition(""x1"")))),LAnd(LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1"")))))))"
G((x1 & X(!x1) & X(X(x1))) | (!x1 & X(x1) & X(X(!x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Negative,"Always(LOr(LAnd(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),Next(Next(AtomicProposition(""x1"")))),LAnd(LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1"")))))))"
x1 & X(G(!x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))"
x1 & X(G(!x1)),[x1 = TRUE];[x1 = TRUE];...,Negative,"LAnd(AtomicProposition(""x1""),Next(Always(Not(AtomicProposition(""x1"")))))"
G ((!x2 & !x3) -> x1),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive,"Always(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),AtomicProposition(""x1"")))"
G ((!x2 & !x3) -> x1),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),AtomicProposition(""x1"")))"
x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Positive,"LAnd(AtomicProposition(""x1""),Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))),Next(Next(Next(AtomicProposition(""x1""))))))))"
x1 & G(x1 -> X(!x1) & X(X(!x1)) & X(X(X(x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative,"LAnd(AtomicProposition(""x1""),Always(LImplies(AtomicProposition(""x1""),LAnd(LAnd(Next(Not(AtomicProposition(""x1""))),Next(Next(Not(AtomicProposition(""x1""))))),Next(Next(Next(AtomicProposition(""x1""))))))))"
G((x1 & X(x1)) -> X(X(G(!x1)))),[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Positive,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Always(Not(AtomicProposition(""x1"")))))))"
G((x1 & X(x1)) -> X(X(G(!x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];[x1 = TRUE];[x1 = FALSE];...,Negative,"Always(LImplies(LAnd(AtomicProposition(""x1""),Next(AtomicProposition(""x1""))),Next(Next(Always(Not(AtomicProposition(""x1"")))))))"
x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Positive,"LImplies(LAnd(AtomicProposition(""x1""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3"")))),LImplies(Eventually(LAnd(AtomicProposition(""x2""),LOr(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))))),LAnd(Eventually(LAnd(AtomicProposition(""x3""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Always(AtomicProposition(""x3"")))))"
x1 & (!x2 | !x3) -> F(x2 & (!x1 | !x3)) -> F(x3 & (!x2 | !x1)) & G(x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Negative,"LImplies(LAnd(AtomicProposition(""x1""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3"")))),LImplies(Eventually(LAnd(AtomicProposition(""x2""),LOr(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))))),LAnd(Eventually(LAnd(AtomicProposition(""x3""),LOr(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x1""))))),Always(AtomicProposition(""x3"")))))"
!(x1 & !x2) U (F(G(x2))),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive,"Until(Not(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))), Eventually(Always(AtomicProposition(""x2""))))"
!(x1 & !x2) U (F(G(x2))),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];...",Negative,"Until(Not(LAnd(AtomicProposition(""x1""),Not(AtomicProposition(""x2"")))), Eventually(Always(AtomicProposition(""x2""))))"
G(x1->F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
G(x1->F(x2)),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2""))))"
(!x1 & !x3) -> G(x2),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];...",Positive,"LImplies(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x2"")))"
(!x1 & !x3) -> G(x2),"[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];...",Negative,"LImplies(LAnd(Not(AtomicProposition(""x1"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x2"")))"
G(x2) & F(x1) & F(!x1),"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Positive,"LAnd(LAnd(Always(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x1""))),Eventually(Not(AtomicProposition(""x1""))))"
G(x2) & F(x1) & F(!x1),"[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = TRUE];[x1 = TRUE, x2 = TRUE];...",Negative,"LAnd(LAnd(Always(AtomicProposition(""x2"")),Eventually(AtomicProposition(""x1""))),Eventually(Not(AtomicProposition(""x1""))))"
G(X(x1) -> (x2 & !X(x2))),"[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive,"Always(LImplies(Next(AtomicProposition(""x1"")),LAnd(AtomicProposition(""x2""),Not(Next(AtomicProposition(""x2""))))))"
G(X(x1) -> (x2 & !X(x2))),"[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(LImplies(Next(AtomicProposition(""x1"")),LAnd(AtomicProposition(""x2""),Not(Next(AtomicProposition(""x2""))))))"
G(x1<->X(X(X(X(X(x1)))))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Positive,"Always(LEquiv(AtomicProposition(""x1""),Next(Next(Next(Next(Next(AtomicProposition(""x1""))))))))"
G(x1<->X(X(X(X(X(x1)))))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];[x1 = FALSE];...,Negative,"Always(LEquiv(AtomicProposition(""x1""),Next(Next(Next(Next(Next(AtomicProposition(""x1""))))))))"
G(!x1) | G(F(x1)),[x1 = TRUE];[x1 = TRUE];...,Positive,"LOr(Always(Not(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))"
G(!x1) | G(F(x1)),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"LOr(Always(Not(AtomicProposition(""x1""))),Always(Eventually(AtomicProposition(""x1""))))"
G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),"[x = TRUE, x1 = FALSE, x2 = TRUE];[x = FALSE, x1 = TRUE, x2 = FALSE];...",Positive,"Always(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x"")),Next(AtomicProposition(""x2"")))),LImplies(AtomicProposition(""x2""),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))))"
G((x1->(!x & X(x2)) ) & (x2->(!x1 & X(x1)))),"[x = TRUE, x1 = TRUE, x2 = FALSE];[x = FALSE, x1 = FALSE, x2 = FALSE];[x = TRUE, x1 = TRUE, x2 = FALSE];...",Negative,"Always(LAnd(LImplies(AtomicProposition(""x1""),LAnd(Not(AtomicProposition(""x"")),Next(AtomicProposition(""x2"")))),LImplies(AtomicProposition(""x2""),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1""))))))"
x1 & X(!x1) | !x1 & X(x1) -> x2,"[x1 = TRUE, x2 = TRUE];[x1 = FALSE, x2 = FALSE];...",Positive,"LImplies(LOr(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))),AtomicProposition(""x2""))"
x1 & X(!x1) | !x1 & X(x1) -> x2,"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"LImplies(LOr(LAnd(AtomicProposition(""x1""),Next(Not(AtomicProposition(""x1"")))),LAnd(Not(AtomicProposition(""x1"")),Next(AtomicProposition(""x1"")))),AtomicProposition(""x2""))"
F(x1 & X(F(x1 & G(!x1)))),True,Positive,"Eventually(LAnd(AtomicProposition(""x1""),Next(Eventually(LAnd(AtomicProposition(""x1""),Always(Not(AtomicProposition(""x1""))))))))"
F(x1 & X(F(x1 & G(!x1)))),[x1 = TRUE];[x1 = FALSE];[x1 = FALSE];...,Negative,"Eventually(LAnd(AtomicProposition(""x1""),Next(Eventually(LAnd(AtomicProposition(""x1""),Always(Not(AtomicProposition(""x1""))))))))"
F(!x2 & !x3 -> G(x1)),"[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive,"Eventually(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x1""))))"
F(!x2 & !x3 -> G(x1)),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"Eventually(LImplies(LAnd(Not(AtomicProposition(""x2"")),Not(AtomicProposition(""x3""))),Always(AtomicProposition(""x1""))))"
G(x1->!(x2 & x3) & ((x2 | x3)->!x1)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),LAnd(Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),Not(AtomicProposition(""x1""))))))"
G(x1->!(x2 & x3) & ((x2 | x3)->!x1)),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),LAnd(Not(LAnd(AtomicProposition(""x2""),AtomicProposition(""x3""))),LImplies(LOr(AtomicProposition(""x2""),AtomicProposition(""x3"")),Not(AtomicProposition(""x1""))))))"
G(F(x1) U (!x2) & X(x3)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];...",Positive,"Always(LAnd(Until(Eventually(AtomicProposition(""x1"")), Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))))"
G(F(x1) U (!x2) & X(x3)),"[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];...",Negative,"Always(LAnd(Until(Eventually(AtomicProposition(""x1"")), Not(AtomicProposition(""x2""))),Next(AtomicProposition(""x3""))))"
G(x1 -> X(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2""))))"
G(x1 -> X(x2)),"[x1 = TRUE, x2 = FALSE];[x1 = TRUE, x2 = FALSE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Next(AtomicProposition(""x2""))))"
G(X(x1) & G(F(x1))),[x1 = FALSE];[x1 = TRUE];[x1 = TRUE];...,Positive,"Always(LAnd(Next(AtomicProposition(""x1"")),Always(Eventually(AtomicProposition(""x1"")))))"
G(X(x1) & G(F(x1))),[x1 = FALSE];[x1 = FALSE];...,Negative,"Always(LAnd(Next(AtomicProposition(""x1"")),Always(Eventually(AtomicProposition(""x1"")))))"
X(X(X(X(X(x1 & x2))))) | X(X(X(x3))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = FALSE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Positive,"LOr(Next(Next(Next(Next(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))),Next(Next(Next(AtomicProposition(""x3"")))))"
X(X(X(X(X(x1 & x2))))) | X(X(X(x3))),"[x1 = FALSE, x2 = FALSE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = FALSE];...",Negative,"LOr(Next(Next(Next(Next(Next(LAnd(AtomicProposition(""x1""),AtomicProposition(""x2""))))))),Next(Next(Next(AtomicProposition(""x3"")))))"
x1 U (!x2 & x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = FALSE, x2 = FALSE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Positive,"Until(AtomicProposition(""x1""), LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))"
x1 U (!x2 & x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative,"Until(AtomicProposition(""x1""), LAnd(Not(AtomicProposition(""x2"")),AtomicProposition(""x3"")))"
x1 U (x2 & x3),"[x1 = TRUE, x2 = TRUE, x3 = TRUE];[x1 = FALSE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = TRUE];...",Positive,"Until(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))"
x1 U (x2 & x3),"[x1 = TRUE, x2 = TRUE, x3 = FALSE];[x1 = TRUE, x2 = TRUE, x3 = FALSE];...",Negative,"Until(AtomicProposition(""x1""), LAnd(AtomicProposition(""x2""),AtomicProposition(""x3"")))"
G(x1 ->X(X(!x2))),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];...",Positive,"Always(LImplies(AtomicProposition(""x1""),Next(Next(Not(AtomicProposition(""x2""))))))"
G(x1 ->X(X(!x2))),"[x1 = TRUE, x2 = FALSE];[x1 = FALSE, x2 = TRUE];[x1 = FALSE, x2 = TRUE];...",Negative,"Always(LImplies(AtomicProposition(""x1""),Next(Next(Not(AtomicProposition(""x2""))))))"
x1 -> F(x2),"[x1 = FALSE, x2 = FALSE];[x1 = FALSE, x2 = FALSE];...",Positive,"LImplies(AtomicProposition(""x1""),Eventually(AtomicProposition(""x2"")))"
